"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"Société des Avis Garantis","https://www.societe-des-avis-garantis.fr/","https://www.facebook.com/SteAvisGarantis","https://www.linkedin.com/company/société-des-avis-garantis","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@societe-des-avis-garantis.fr","10 rue du Colisée
75008 Paris
FRANCE
contact@societe-des-avis-garantis.fr
https://www.societe-des-avis-garantis.fr/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
SEO / SEA","","","",""
"ACI WORLDWIDE","http://www.aciworldwide.com/","https://www.facebook.com/aciworldwide","https://www.linkedin.com/company/aci-worldwide","https://twitter.com/ACI_Worldwide","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","chrystelle.labesse@aciworldwide.com","Red House, Cemetery Pales
1st Floor
GU24 0BL Brookwood Surrey
UNITED KINGDOM
chrystelle.labesse@aciworldwide.com
http://www.aciworldwide.com/","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Biometrics
Blockchain / Cryptocurrency (bitcoin ...)
Contactless payment
Cyber security
Digital Wallet
M-payment
Online payment
Payment card solutions
Payment Kiosk / Payment terminal
Secure payment
RETAIL TECH / DIGITAL IN STORE
Beacon / NFC / RFID / WIFI
Checkout & POS terminal / Self-checkout
Mobile shopping / M-commerce
Self-scanning
Virtual commerce","","","",""
"RITMO","https://www.getritmo.com/fr","","https://www.linkedin.com/company/ritmo-capital/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/esp.svg","SPAIN","carlos@getritmo.com","C/ López de Hoyos 7, 3o Izda.
28006 Madrid
SPAIN
carlos@getritmo.com
https://www.getritmo.com/fr","","","MARKETPLACES","PAYMENT SOLUTIONS
Fintech
SERVICES
Funding bodies / Financial services / Insurance","","","",""
"ADEIZ","https://adeiz.com/","","https://www.linkedin.com/company/adeiz","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@adeiz.com","Batiment B - Avenue de la Marne
Centre d'affaires du Molinel
59290 Wasquehal
FRANCE
contact@adeiz.com
https://adeiz.com/","","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Mobile shopping / M-commerce","","","",""
"FEVAD","http://www.fevad.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","clmorre@fevad.com","60 rue de la Boëtie
75008 Paris
FRANCE
clmorre@fevad.com
http://www.fevad.com","Decryption, by the FEVAD, of the new rules for e-commerce sites !","","","","Solutions Workshops","Decryption, by the FEVAD, of the new rules for e-commerce sites !","",""
"Mr Suricate","http://www.mrsuricate.com","https://www.facebook.com/MRSURICATE/","https://www.linkedin.com/company/mr-suricate/","https://twitter.com/mistersuricate","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","suricate@mrsuricate.com","7 rue mathurin Brissonneau
44100 Nantes
FRANCE
suricate@mrsuricate.com
http://www.mrsuricate.com","Strategy of an agile company to guarantee the quality of customer journeys by Fnac-Darty","","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
M-Commerce / Mobile sites
MARKETING / DATA / CUSTOMER RELATIONS
AB Testing / Online Selling Efficiency","Solutions Workshops","Strategy of an agile company to guarantee the quality of customer journeys by Fnac-Darty","",""
"TIMESKIPPER","http://www.timeskipper.fr","","https://www.linkedin.com/company/timeskipper/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@timeskipper.fr","16 rue Armengaud
92210 Saint-Cloud
FRANCE
contact@timeskipper.fr
http://www.timeskipper.fr","How to make every hour of work in your store worthwhile?","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Predictive tools / Statistical tools / Multi-channel analysis
SERVICES
HR / Organisation","Solutions Workshops","How to make every hour of work in your store worthwhile?","",""
"ECN","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","16 bis Quai Amiral Hamelin
14000 Caen
FRANCE","Launching your business: How to create your E-Commerce site?","","","","Solutions Workshops","Launching your business: How to create your E-Commerce site?","",""
"RETAIL VR","https://retail-vr.com/fr/","https://www.facebook.com/RetailVR.officiel","https://www.linkedin.com/company/retailvr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","erwan.krotoff@retail-vr.com","6 rue Bisson
44100 Nantes
FRANCE
erwan.krotoff@retail-vr.com
https://retail-vr.com/fr/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Study / Marketing research
RETAIL TECH / DIGITAL IN STORE
Virtual commerce","","","",""
"SNABBLE GMBH","https://snabble.io/","https://www.facebook.com/snabble.io","https://www.linkedin.com/company/snabble","https://twitter.com/snabble_io","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","info@snabble.io","Am Dickobskreuz 10
53121 Bonn
GERMANY
info@snabble.io
https://snabble.io/","Customer Advisory Now and Then - How Technology is Changing the Job of  the Retail Clerk ?","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Mobile shopping / M-commerce
Self-scanning","Solutions Workshops","Customer Advisory Now and Then - How Technology is Changing the Job of  the Retail Clerk ?","",""
"NCPI","https://www.ncpi.fr/","https://www.facebook.com/NCPI-102510175193583","https://www.linkedin.com/company/linkedin-ncpi-tpv","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info.rev@ncpi.fr","107 rue de l'Aven
34980 Saint-Gély-du-Fesc
FRANCE
info.rev@ncpi.fr
https://www.ncpi.fr/","","","NEW MEANS OF PAYMENT","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Softwares / ERP / Analytics","","","",""
"Phyron AB","https://www.phyron.com/","","https://www.linkedin.com/company/phyron-software","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/swe.svg","SWEDEN","gael.moysan@phyron.com","Linnégatan 2
114 47 Stockholm
SWEDEN
gael.moysan@phyron.com
https://www.phyron.com/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Marketing automation
RETAIL TECH / DIGITAL IN STORE
AI","","","",""
"SPRYKER SYSTEMS","https://www.spryker.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","Heidestrasse 9-10
10557 BERLIN
FRANCE

https://www.spryker.com/","How the Ho'Carré Platform Facilitates Short Supplies Directly from Farm to Fork ?","","","","Solutions Workshops","How the Ho'Carré Platform Facilitates Short Supplies Directly from Farm to Fork ?","",""
"AUTORETOUCH BY MEERO","http://www.autoretouch.com","","https://www.linkedin.com/company/autoretouch/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","sales@autoretouch.com","Heilbronnerstr. 72
70191 Stuttgart
GERMANY
sales@autoretouch.com
http://www.autoretouch.com","AI Revolution for product image post production","","MARKETING","IT FOR COMMERCE
Digital Media / Digital signage
E-merchandising","Solutions Workshops","AI Revolution for product image post production","",""
"OCTAVE","http://www.octave.biz","","https://www.linkedin.com/company/octave-biz","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@octave.biz","35 rue du Nid de Pie
49000 Angers
FRANCE
info@octave.biz
http://www.octave.biz","Unified Commerce: 4 key steps to empower your salespeople and make them actors of your digital transformation. The example of Cultura Belgium","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Websites development / E-shops
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","Solutions Workshops","Unified Commerce: 4 key steps to empower your salespeople and make them actors of your digital transformation. The example of Cultura Belgium","",""
"W-HA - Digital Payments & Services","https://www.w-ha.com","https://www.facebook.com/wha.payments/","https://fr.linkedin.com/company/w-ha","https://twitter.com/whapayments","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@w-ha.com","25 bis avenue André Morizet
92100 Boulogne-Billancourt
FRANCE
info@w-ha.com
https://www.w-ha.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Digital Wallet
Payment card solutions","","","",""
"BRIGHT ADVICE SYSTEMS - ENVALIA","http://www.bradsys.io","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@bradsys.io","Breteuil 18-31 Parc Saint Maur
Avenue De Mormal
59000 Lille
FRANCE
hello@bradsys.io
http://www.bradsys.io","","","MARKETING","RETAIL TECH / DIGITAL IN STORE
Interactive terminals
Smart lighting","","","",""
"EKATA, A MASTERCARD COMPANY","http://www.ekata.com","","https://www.linkedin.com/company/ekataglobal/","https://twitter.com/ekataglobal","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","sandra.lentini@ekata.com","Prins Hendrikkade 48 - Third floor
1012 AC Amsterdam
NETHERLANDS
sandra.lentini@ekata.com
http://www.ekata.com","How to leverage Ekata's Identity Verification solutions?","","MARKETPLACES","PAYMENT SOLUTIONS
Contactless payment
Cyber security
Fintech
Online payment
Secure payment","Solutions Workshops","How to leverage Ekata's Identity Verification solutions?","",""
"ANTADIS","http://www.antadis.com","","https://www.linkedin.com/company/antadis-agence-web/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","lejal@antadis.com","1 rue de Clairefontaine
78120 Rambouillet
FRANCE
lejal@antadis.com
http://www.antadis.com","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
MARKETING / DATA / CUSTOMER RELATIONS
Ergonomics / UX","","","",""
"AGORA NEWS","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","42 avenue de la Grande Armée
75017 Paris
FRANCE","","","","","","","",""
"PROGINOV","http://www.proginov.com","https://www.facebook.com/Proginov-110277025657025","https://www.linkedin.com/company/5057640/","https://twitter.com/Proginov","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@proginov.com","36 rue de la Guillauderie
Parc d'activites de Tournebride
44118 La Chevrolière
FRANCE
contact@proginov.com
http://www.proginov.com","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Website hosting
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","","","",""
"Synalcom x Qori","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","jeremy.meunier@synalcom.fr","8 allée de Londres
91140 Villejust
FRANCE
jeremy.meunier@synalcom.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Blockchain / Cryptocurrency (bitcoin ...)
Payment Kiosk / Payment terminal","","","",""
"Orange Business Services","https://www.orange-business.com/en","","https://www.linkedin.com/company/orange-business-services","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","fluxvision.contact@orange.com","1 place des Droits de l'Homme
93457 La Plaine Saint Denis Cedex
FRANCE
fluxvision.contact@orange.com
https://www.orange-business.com/en","Orange Flux Vision, the exclusive combination of operator and GPS data to study your commercial areas' traffic with precision and reliability.","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Geolocation / M-Couponing
Geomarketing","Solutions Workshops","Orange Flux Vision, the exclusive combination of operator and GPS data to study your commercial areas' traffic with precision and reliability.","",""
"DOOFINDER SL","http://www.doofinder.com/fr","","https://www.linkedin.com/company/doofinder/","https://twitter.com/home?lang=en","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/esp.svg","SPAIN","marketing@doofinder.com","Calle Rufino Gonzalez 23bis-1,1
28037 Madrid
SPAIN
marketing@doofinder.com
http://www.doofinder.com/fr","Creating an online discount retailer : a faster, cheaper and more convenient online shopping experience","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
Connected objects / Artificial Intelligence
Data / Effectiveness measurement / Processing / Database","Solutions Workshops","Creating an online discount retailer : a faster, cheaper and more convenient online shopping experience","",""
"Neo9","https://neo9.fr/","https://www.facebook.com/neo9sas","https://www.linkedin.com/company/neo9/mycompany/?viewAsMember=true","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@neo9.fr","79 rue des archives
75003 Paris
FRANCE
contact@neo9.fr
https://neo9.fr/","How to address your products and offers data quality and volume challenges for your 1P and 3P e-commerce platform thanks to the Neo9 Catalog?","","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
Websites development / E-shops","Solutions Workshops","How to address your products and offers data quality and volume challenges for your 1P and 3P e-commerce platform thanks to the Neo9 Catalog?","",""
"DAHUA TECHNOLOGY FRANCE","https://france.dahuatech.com/","https://www.facebook.com/DahuaFrance","https://www.linkedin.com/company/dahua-technology-france","https://twitter.com/DahuaFrance","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/chn.svg","CHINA","marketing.france@dahuatech.com","8 Rue Eugène et Armand Peugeot
92500 Rueil-Malmaison
CHINA
marketing.france@dahuatech.com
https://france.dahuatech.com/","How to improve operational efficiency and customer experience in your stores with the Dahua IoT solution for retailers ?","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
RETAIL TECH / DIGITAL IN STORE
AI","Solutions Workshops","How to improve operational efficiency and customer experience in your stores with the Dahua IoT solution for retailers ?","",""
"DIGDASH","http://www.digdash.com/fr","","https://www.linkedin.com/company/digdash/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@digdash.com","Rue de la Carrière de Bachasson
Parc Bachasson, Bât B
13590 Meyreuil
FRANCE
contact@digdash.com
http://www.digdash.com/fr","Retail and Business Intelligence: how to steer your business and boost your performance with analytics ?","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Decision-making software / Cloud","Solutions Workshops","Retail and Business Intelligence: how to steer your business and boost your performance with analytics ?","",""
"Cap Digital","https://www.capdigital.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","14 rue Alexandre Parodi
75010 PARIS
FRANCE

https://www.capdigital.com/","Retail Tech : Find the path from Startup to Scale-Up with the Retail Booster Program, by Cap Digital","","","","Solutions Workshops","Retail Tech : Find the path from Startup to Scale-Up with the Retail Booster Program, by Cap Digital","",""
"Watèa by Michelin","https://www.watea.green/fr/","https://www.facebook.com/WateaEA","https://www.linkedin.com/company/watea-ea/mycompany/","https://twitter.com/wateaea","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","rachel.bechler@watea.green","23 Place des Carmes Dechaux 
63000 Clermont-Ferrand
FRANCE
rachel.bechler@watea.green
https://www.watea.green/fr/","Last mile Delivery : Switch to eFleet","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery","Solutions Workshops","Last mile Delivery : Switch to eFleet","",""
"LINKSGARDEN.COM","http://www.linksgarden.com","https://www.facebook.com/Linksgarden.fr/","https://www.linkedin.com/company/linksgarden/","https://twitter.com/linksgarden","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@linksgarden.fr","2 rue Jean Perrin
14460 Colombelles
FRANCE
contact@linksgarden.fr
http://www.linksgarden.com","SEO: to boost the ranking of your site on Google, what results to expect from backlinks? Budget, methodology and illustrated examples.","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
SEO / SEA","Solutions Workshops","SEO: to boost the ranking of your site on Google, what results to expect from backlinks? Budget, methodology and illustrated examples.","",""
